year,state,office,district,stage,forecast_final,actual_result,forecast_error
2020,ME,State House,9,general,0.58,0.58,0
2020,OH,State House,76,general,0.38,0.39,0.01
2020,SD,State House,27,general,0.31,0.36,0.05
2020,MN,State House,27B,general,0.57,0.48,0.08
2020,AZ,State Senate,26,general,0.66,0.68,0.02
2020,NC,State Senate,30,general,0.39,0.31,0.07
2020,GA,State House,138,general,0.5,0.46,0.04
2020,MT,State House,13,general,0.25,0.22,0.03
2020,IL,US House,16,general,0.41,0.33,0.09
2020,FL,State House,54,general,0.37,0.34,0.03
2020,MN,State House,19A,general,0.56,0.5,0.06
2020,IN,State House,75,general,0.42,0.37,0.04
2020,SD,State House,21,general,0.22,0.2,0.02
2020,TX,US House,14,general,0.42,0.38,0.04
2020,MI,State House,42,general,0.39,0.37,0.02
2020,IA,State House,50,general,0.33,0.29,0.04
2020,WY,State House,41,general,0.49,0.39,0.09
2020,CO,State House,30,general,0.58,0.57,0.02
2020,OH,State House,18,general,0.78,0.79,0.01
2020,AR,State House,39,general,0.48,0.47,0.01
2020,MO,State House,102,general,0.4,0.38,0.03
2020,SD,State House,6,general,0.33,0.24,0.09
2020,ME,State House,126,general,0.58,0.54,0.04
2020,WV,State House,1,general,0.17,0.17,0
2020,CA,State House,66,general,0.73,0.64,0.09
2020,WI,State House,94,general,0.59,0.52,0.06
2020,MI,State House,22,general,0.62,0.6,0.03
2020,FL,State House,33,general,0.32,0.3,0.02
2020,CT,State Senate,8,general,0.51,0.47,0.05
2020,WY,State House,46,general,0.44,0.41,0.03
2020,NC,State House,6,general,0.4,0.36,0.05
2020,MO,State House,108,general,0.38,0.35,0.03
2020,CO,US House,7,general,0.62,0.6,0.02
2020,KS,State House,114,general,0.31,0.29,0.02
2020,UT,State House,8,general,0.48,0.43,0.05
2020,DE,State House,7,general,0.61,0.67,0.07
2020,NC,State House,35,general,0.52,0.51,0.02
2020,TN,State House,16,general,0.35,0.31,0.05
2020,GA,State Senate,12,general,0.71,0.62,0.09
2020,OH,State House,77,general,0.37,0.4,0.03
2020,OK,US House,4,general,0.36,0.29,0.08
2020,AR,US House,3,general,0.36,0.32,0.05
2020,IA,State House,24,general,0.34,0.26,0.09
2020,CT,State House,97,general,0.7,0.73,0.03
2020,NY,State Senate,32,general,0.98,0.95,0.03
2020,KS,State House,100,general,0.37,0.36,0.01
2020,NC,State House,79,general,0.45,0.36,0.09
2020,IL,US House,13,general,0.5,0.45,0.05
2020,GA,State House,151,general,0.49,0.48,0.01
2020,MI,State House,11,general,0.69,0.65,0.04
2020,MN,State House,4A,general,0.61,0.57,0.05
2020,AR,State House,49,general,0.37,0.43,0.06
2020,IA,State House,37,general,0.49,0.47,0.02
2020,TX,US House,17,general,0.46,0.41,0.05
2020,FL,US House,4,general,0.39,0.39,0
2020,FL,State House,89,general,0.51,0.44,0.07
2020,AZ,State House,23,general,0.26,0.29,0.03
2020,KS,State House,50,general,0.25,0.25,0
2020,TX,State House,91,general,0.37,0.36,0.01
